n,Xi(n),Omega(n),E(n),F(n),E_tail_upper,Omega_tail_upper_heuristic
195000,0.21013186627724867,0.6156322075852779,1.352498700354136,-0.5267346264916094,9.751697250923417e-05,7.411500906764169e-05
196000,0.21013186627751634,0.6156322499318072,1.352499160236789,-0.5267350440274655,9.705708760033805e-05,7.374068644000065e-05
197000,0.21013186627777994,0.6156322918571564,1.3524996156412277,-0.5267354575062914,9.660168093912401e-05,7.337014314406847e-05
198000,0.21013186627803956,0.6156323333811234,1.3525000666333828,-0.5267358669742198,9.615068659409425e-05,7.300332213704486e-05
199000,0.21013186627829528,0.6156323744669127,1.352500513277889,-0.526736272532681,9.570403993012411e-05,7.264016751931272e-05
200000,0.21013186627854716,0.6156324151533322,1.352500955638116,-0.5267366742062366,9.526167757662889e-05,7.228062450592811e-05
201000,0.2101318662787953,0.6156324554560273,1.3525013937762003,-0.5267370720413777,9.482353739666656e-05,7.192463939895944e-05
202000,0.21013186627903976,0.6156324953381267,1.3525018277530743,-0.5267374661359078,9.438955845694478e-05,7.157215956064661e-05
203000,0.21013186627928063,0.6156325348457523,1.3525022576284966,-0.5267378565034637,9.395968099870063e-05,7.122313338735196e-05
204000,0.21013186627951794,0.6156325739686693,1.352502683461079,-0.5267382432128916,9.353384640942427e-05,7.08775102842756e-05
205000,0.2101318662797518,0.615632612698626,1.3525031053083145,-0.5267386263299367,9.311199719539754e-05,7.053524064090933e-05
206000,0.21013186627998226,0.6156326510693798,1.3525035232266043,-0.5267390058772422,9.269407695502072e-05,7.019627580720406e-05
207000,0.21013186628020938,0.6156326890767924,1.3525039372712833,-0.5267393819142815,9.228003035290037e-05,6.986056807042655e-05
208000,0.21013186628043326,0.6156327267064745,1.3525043474966452,-0.5267397545097374,9.186980309467375e-05,6.95280706326824e-05
209000,0.21013186628065392,0.6156327639835137,1.3525047539559674,-0.5267401236917997,9.146334190254514e-05,6.919873758908299e-05
210000,0.2101318662808714,0.6156328009133248,1.3525051567015345,-0.5267404895073382,9.106059449151035e-05,6.887252390653485e-05
211000,0.21013186628108585,0.6156328374727077,1.3525055557846613,-0.5267408520308677,9.066150954624758e-05,6.854938540313112e-05
212000,0.21013186628129724,0.615632873704707,1.3525059512557152,-0.526741211269711,9.026603669865213e-05,6.822927872812488e-05
213000,0.21013186628150568,0.615632909607154,1.3525063431641386,-0.5267415672754789,8.987412650599478e-05,6.791216134246556e-05
214000,0.21013186628171118,0.615632945165978,1.35250673155847,-0.5267419201107808,8.948573042968317e-05,6.75979914998799e-05
215000,0.21013186628191383,0.6156329803975557,1.3525071164863636,-0.5267422698068941,8.910080081460703e-05,6.728672822847986e-05
216000,0.2101318662821137,0.6156330153173543,1.3525074979946108,-0.5267426163951429,8.871929086904871e-05,6.69783313128802e-05
217000,0.21013186628231076,0.6156330499066113,1.3525078761291593,-0.5267429599402373,8.83411546451407e-05,6.667276127680978e-05
218000,0.21013186628250516,0.6156330841794704,1.3525082509351314,-0.5267433004731559,8.79663470198531e-05,6.636997936620017e-05
219000,0.21013186628269687,0.6156331181576765,1.3525086224568437,-0.5267436380164703,8.759482367649419e-05,6.606994753273684e-05
220000,0.210131866282886,0.6156331518103834,1.3525089907378238,-0.5267439726445544,8.722654108670777e-05,6.57726284178579e-05
221000,0.21013186628307254,0.6156331851657234,1.352509355820829,-0.526744304372033,8.686145649295241e-05,6.547798533718651e-05
222000,0.21013186628325659,0.6156332182322874,1.3525097177478629,-0.5267446332323189,8.649952789144666e-05,6.518598226538307e-05
223000,0.21013186628343816,0.6156332509856026,1.3525100765601916,-0.5267449592911508,8.614071401556663e-05,6.489658382140411e-05
224000,0.2101318662836173,0.6156332834615375,1.3525104322983605,-0.5267452825532057,8.57849743196815e-05,6.46097552541554e-05
225000,0.21013186628379407,0.6156333156560823,1.3525107850022093,-0.526745603062333,8.543226896341372e-05,6.43254624285267e-05
226000,0.2101318662839685,0.6156333475507155,1.3525111347108887,-0.5267459208762046,8.508255879631079e-05,6.40436718117965e-05
227000,0.2101318662841406,0.6156333791746731,1.3525114814628731,-0.5267462360040595,8.473580534291614e-05,6.376435046039551e-05
228000,0.21013186628431046,0.6156334105351726,1.3525118252959778,-0.5267465484764947,8.439197078822716e-05,6.34874660070177e-05
229000,0.2101318662844781,0.6156334416063834,1.3525121662473707,-0.5267468583565091,8.405101796352836e-05,6.321298664806821e-05
